x,y,type
1,7.077447711892078,random
2,2.124730136177379,random
3,1.7917232982688096,random
4,1.0557124243817932,random
5,0.9129445780440745,random
6,0.42986904763044387,random
7,0.21964566718460035,random
8,0.1883944698079972,random
9,0.12600864911180906,random
10,0.025749193724508204,random
11,0.014862448968502097,random
12,0.005646750858429231,random
13,0.002213110352953093,random
1,6.912350534743207,stratified
2,2.0042151550848417,stratified
3,1.8958889478944811,stratified
4,1.0864927775505706,stratified
5,0.9468874523444568,stratified
6,0.5070885006794421,stratified
7,0.26747028819783025,stratified
8,0.187318225079993,stratified
9,0.13764444075757806,stratified
10,0.02039097528826269,stratified
11,0.005288988352738443,stratified
12,0.002838526959153186,stratified
13,0.002469735466020139,stratified
